V1	V2	V3	V4	V5
AE126	1.2	2.1	3.2	4.2
BB05	1.1	2.1	3.2	4.1
BB06	1.1	2.2	3.2	4.2
BB10	1.2	2.2	3.2	4.1
BB14	1.1	2.2	3.1	4.1
BB16	1.1	2.2	3.2	4.2
BB18	1.2	2.2	3.2	4.1
BB20	1.1	2.2	3.1	4.1
BB21	1.1	2.2	3.1	4.1
BB23	1.1	2.2	3.2	4.1
BB29	1.2	2.1	3.2	4.2
BB40	1.1	2.1	3.2	4.2
BB57	1.2	2.1	3.2	4.2
BB60	1.1	2.1	3.1	4.2
BB61	1.2	2.2	3.2	4.1
BB88	1.1	2.2	3.2	4.2
BWd02	1.1	2.2	3.1	4.1
OWW11	1.1	2.2	3.1	4.1
RDM01	1.2	2.1	3.2	4.2
SAC02	1.2	2.2	3.2	4.1
SAC03	1.2	2.2	3.2	4.1
SAC04	1.2	2.2	3.2	4.1
SAC05	1.2	2.2	3.2	4.1
SAC06	1.2	2.2	3.2	4.1
SAC07	1.2	2.2	3.2	4.1
SAC08	1.1	2.2	3.2	4.1
WEL03	1.2	2.2	3.2	4.1
WEL10	1.1	2.2	3.2	4.2
WEL11	1.1	2.2	3.2	4.2
WEL12	1.1	2.2	3.2	4.2
WEL13	1.1	2.2	3.2	4.2
WEL14	1.1	2.2	3.2	4.2
WEL15	1.1	2.2	3.2	4.2
WEL16	1.1	2.2	3.2	4.2
WEL25	1.2	2.2	3.2	4.1
WEL26	1.1	2.2	3.2	4.2
WF07	1.1	2.1	3.1	4.2
WiW14	1.1	2.1	3.1	4.2
WiW15	1.1	2.1	3.1	4.2
WiW16	1.1	2.1	3.1	4.2
WiW17	1.1	2.1	3.1	4.2
WiW18	1.2	2.2	3.1	4.2
WiW19	1.1	2.1	3.1	4.2
WiW20	1.1	2.1	3.1	4.2
WiW21	1.1	2.1	3.1	4.2
WiW22	2.1	3.1	4.2	NA
WiW23	1.1	2.1	3.1	4.2
WiW24	1.1	2.1	3.1	4.2
WiW25	1.1	2.1	3.1	4.2
WiW27	1.1	2.1	3.1	4.2
WiW29	1.1	2.1	3.1	4.2
WiW30	1.1	2.1	3.2	4.2
WiW32	1.1	2.1	3.1	4.2
WiW41	1.1	2.1	3.2	4.1
WiW43	1.1	2.1	3.2	4.1
WiW44	1.1	2.1	3.2	4.1
WiW45	1.1	2.1	3.2	4.1
WiW46	1.1	2.1	3.2	4.1
WiW47	1.1	2.1	3.2	4.1
WiW48	1.1	2.1	3.2	4.1
WP12	1.2	2.2	3.2	4.1
WP13	1.2	2.2	3.2	4.1
WP14	1.1	2.2	3.2	4.1
WP15	1.2	2.2	3.2	4.1
WP16	1.2	2.2	3.2	4.1
WYC42	1.2	2.1	3.1	4.1
WYT30	1.1	2.2	3.1	4.1
WYT31	1.1	2.2	3.1	4.1
WYT32	1.1	2.2	3.1	4.1
